session_id,session_name,teacher_id,group_name,slot_id,day,start_time,room_id
0,MST RD,T_001,RD,5,1,16:30,A2
1,TC S1 - TD GP & GI,T_002,S1,21,5,08:30,A2
2,TC S1 - TD GP & GI,T_002,S1,22,5,10:30,A2
3,IEEA,T_003,IEEA,9,2,14:30,A2
4,IEEA,T_003,EE,25,5,16:30,A1
5,TC S1,T_004,S1,6,2,08:30,A1
6,TC GB S3,T_005,Unknown,28,6,12:30,A2
7,TC S3,T_006,Unknown,18,4,12:30,A3
8,BA/BP,T_007,BP,15,3,16:30,A1
9,BA/BP,T_007,BA,11,3,08:30,A2
10,IFA + MIASI,T_008,IFA,24,5,14:30,A4
11,IFA + MIASI,T_008,MIASI,13,3,12:30,A3
12,MST RD,T_001,RD,24,5,14:30,A2
13,EE+GARM,T_009,EE,6,2,08:30,A4
14,EE+GARM,T_009,GARM,7,2,10:30,A2
15,IEGS,T_010,IEGS,14,3,14:30,A3
16,TC S3 - TD,T_011,Unknown,27,6,10:30,S 12
17,GC,T_012,GC,10,2,16:30,A1
18,TC S3 - TD,T_011,Unknown,18,4,12:30,S 20
19,TC S1 - TD MTU GB & GEG,T_013,S1,13,3,12:30,A3
20,TC S1 - TD MTU GB & GEG,T_013,GE,19,4,14:30,S 28
21,IEEA,T_003,IEEA,29,6,14:30,A1
22,IEEA,T_003,EE,12,3,10:30,A4
23,GC,T_012,GC,28,6,12:30,A1
24,TC S1 - TD,T_014,S1,7,2,10:30,A2
25,TC S3 - TD,T_011,Unknown,9,2,14:30,S 30
26,TC S3 - TD,T_011,Unknown,20,4,16:30,S 28
27,TC S1 - TD,T_014,S1,9,2,14:30,A1
28,TC S1,T_004,S1,28,6,12:30,A2
29,"TC S1 - TD
GB & GEG",T_015,S1,15,3,16:30,A4
30,"TC S1 - TD
GB & GEG",T_015,GE,13,3,12:30,S 10
31,TC S1 - TD,T_014,S1,11,3,08:30,A1
32,TC S3 - TD,T_011,Unknown,28,6,12:30,S 20
33,TC S3 - TD,T_011,Unknown,4,1,14:30,S 25
34,TC S1 - TD,T_014,S1,21,5,08:30,A3
35,"TC S1
GB & GEG",T_016,S1,20,4,16:30,A3
36,"TC S1
GB & GEG",T_016,GE,2,1,10:30,A3
37,BA provis sem 1,T_017,BA,19,4,14:30,A1
38,"TC S1 - TD
GB & GEG",T_015,S1,30,6,16:30,A2
39,"TC S1 - TD
GB & GEG",T_015,GE,25,5,16:30,G2
40,SIR,T_018,SIR,19,4,14:30,A2
41,TC S1 - TD,T_014,S1,30,6,16:30,A4
42,TC S1 - TD,T_014,S1,7,2,10:30,A2
43,TC S1,T_004,S1,18,4,12:30,A2
44,TC S3 - TD,T_011,Unknown,10,2,16:30,S 29
45,TC S3 - TD,T_011,Unknown,7,2,10:30,S 15
46,MIASI,T_019,MIASI,7,2,10:30,A2
47,EE+GARM,T_009,EE,23,5,12:30,A1
48,EE+GARM,T_009,GARM,14,3,14:30,A4
49,TC S1 - TD,T_014,S1,3,1,12:30,A1
50,"TC S1 - TD
GB & GEG",T_015,S1,2,1,10:30,A3
51,"TC S1 - TD
GB & GEG",T_015,GE,11,3,08:30,S 25
52,"TC S1
GB & GEG",T_016,S1,22,5,10:30,A4
53,"TC S1
GB & GEG",T_016,GE,23,5,12:30,A3
54,TC S3,T_006,Unknown,9,2,14:30,A3
55,TC S3 - TD,T_011,Unknown,4,1,14:30,A2
56,TC S1 - TD,T_014,S1,16,4,08:30,A4
57,BA,T_020,BA,3,1,12:30,A4
58,"TC S1 - TD
GB & GEG",T_015,S1,7,2,10:30,A2
59,"TC S1 - TD
GB & GEG",T_015,GE,23,5,12:30,S 12
60,IFA2 + IFA 3,T_021,IFA,13,3,12:30,A2
61,TC S3 - TD,T_011,Unknown,21,5,08:30,S 26
62,TC S3 TD civisme,T_022,Unknown,7,2,10:30,S 9
63,TC S3 - TD,T_011,Unknown,23,5,12:30,S 30
