day,start_time,duration,room_id,session_name,session_type,teacher_id,involved_groups
LUNDI,08:30,4h,S 25,MST RD,Cours,T_011,RD
LUNDI,08:30,4h,S 27,TC S1 - TD GP & GI,TD,T_013,S1_GP;S1_GI
LUNDI,08:30,4h,S 28,TC S1 - TD GP & GI,TD,T_024,S1_GP;S1_GI
LUNDI,08:30,4h,S 20,IEEA,Cours,T_027,IEEA;EE
LUNDI,08:30,4h,A1,TC S1,Cours,T_005,S1
LUNDI,08:30,4h,A4,TC GB S3,Cours,T_031,S3_GB
LUNDI,08:30,4h,A2,TC S3,Cours,T_029,S3
LUNDI,08:30,4h,A3,BA/BP,Cours,T_032,BP;BA
LUNDI,08:30,4h,S 30,IFA + MIASI,Cours,T_086,IFA;MIASI
LUNDI,08:30,2h,S 24,MST RD,Cours,T_011,RD
LUNDI,08:30,4h,S 29,EE+GARM,Cours,T_053,EE;GARM
LUNDI,08:30,4h,S 23,IEGS,Cours,T_103,IEGS
LUNDI,08:30,4h,S 19,TC S3 - TD,TD,T_124,S3_TD6
LUNDI,08:30,4h,S 21,GC,Cours,T_016,GC
LUNDI,10:30,2h,S 24,TC S3 - TD,TD,T_113,S3_TD3
LUNDI,12:30,2h,A2,TC S1 - TD MTU GB & GEG,TD,T_049,S1_MTU;S1_GB;S1_GEG
LUNDI,14:30,4h,A1,IEEA,Cours,T_027,IEEA;EE
LUNDI,14:30,4h,S 21,GC,Cours,T_016,GC
LUNDI,14:30,4h,S 24,TC S1 - TD,TD,T_042,S1_TD2
LUNDI,14:30,2h,S 29,TC S3 - TD,TD,T_065,S3_TD8
LUNDI,14:30,2h,S 30,TC S3 - TD,TD,T_071,S3_TD1
LUNDI,14:30,4h,S 27,TC S1 - TD,TD,T_072,S1_TD1
LUNDI,14:30,4h,A2,TC S1,Cours,T_005,S1
LUNDI,14:30,4h,S 26,"TC S1 - TD
GB & GEG",TD,T_090,S1_GB;S1_GEG
LUNDI,14:30,4h,S 28,TC S1 - TD,TD,T_092,S1_TD4
LUNDI,14:30,4h,S 19,TC S3 - TD,TD,T_093,S3_TD6
LUNDI,14:30,4h,S 20,TC S3 - TD,TD,T_099,S3_TD10
LUNDI,14:30,4h,S 23,TC S1 - TD,TD,T_101,S1_TD7
LUNDI,14:30,4h,A4,"TC S1
GB & GEG",Cours,T_025,S1_GB;S1_GEG
LUNDI,14:30,2h,A3,BA provis sem 1,Cours,T_114,BA
LUNDI,14:30,4h,S 25,"TC S1 - TD
GB & GEG",TD,T_118,S1_GB;S1_GEG
LUNDI,16:30,2h,A3,SIR,Cours,T_006,SIR
LUNDI,16:30,2h,S 30,TC S1 - TD,TD,T_022,S1_TD3
LUNDI,16:30,2h,S 29,TC S1 - TD,TD,T_120,S1_TD5
MARDI,08:30,4h,A1,TC S1,Cours,T_005,S1
MARDI,08:30,4h,S 19,TC S3 - TD,TD,T_041,S3_TD6
MARDI,08:30,2h,S 23,TC S3 - TD,TD,T_047,S3_TD2
MARDI,08:30,4h,S 20,MIASI,Cours,T_050,MIASI
MARDI,08:30,4h,S 25,EE+GARM,Cours,T_053,EE;GARM
MARDI,08:30,4h,S 27,TC S1 - TD,TD,T_057,S1_TD1
MARDI,08:30,4h,S 29,"TC S1 - TD
GB & GEG",TD,T_058,S1_GB;S1_GEG
MARDI,08:30,4h,A4,"TC S1
GB & GEG",Cours,T_025,S1_GB;S1_GEG
MARDI,08:30,2h,A2,TC S3,Cours,T_029,S3
MARDI,08:30,2h,S 26,TC S3 - TD,TD,T_081,S3_TD4
MARDI,08:30,4h,S 28,TC S1 - TD,TD,T_083,S1_TD4
MARDI,08:30,4h,A3,BA,Cours,T_014,BA
MARDI,08:30,4h,S 30,"TC S1 - TD
GB & GEG",TD,T_126,S1_GB;S1_GEG
MARDI,08:30,4h,S 21,IFA2 + IFA 3,Cours,T_127,IFA
MARDI,08:30,4h,S 24,TC S3 - TD,TD,T_128,S3_TD3
MARDI,10:30,2h,A2,TC S3 TD civisme,TD,T_039,S3_TD5
MARDI,10:30,2h,S 23,TC S3 - TD,TD,T_078,S3_TD2
MARDI,10:30,2h,S 26,TC S3 - TD GP,TD,T_132,S3_GP
MARDI,14:30,4h,S 27,TC S1 - TD,TD,T_001,S1_TD1
MARDI,14:30,2h,A3,BA,Cours,T_014,BA
MARDI,14:30,4h,S 20,GC,Cours,T_016,GC
MARDI,14:30,4h,S 23,"TC S1 - TD
GB & GEG",TD,T_034,S1_GB;S1_GEG
MARDI,14:30,4h,A1,TC S3,Cours,T_029,S3
MARDI,14:30,4h,A4,TC GB S3,Cours,T_031,S3_GB
MARDI,14:30,4h,S 24,"TC S1 - TD
GB & GEG",TD,T_067,S1_GB;S1_GEG
MARDI,14:30,4h,A2,TC S1,Cours,T_005,S1
