group_name,section,size
BA,LST,70
BP,LST,70
EE,LST,70
ERME,CI,45
GARM,LST,70
GC,LST,70
GE,MST,30
IEEA,LST,70
IEGS,CI,45
IFA,CI,45
MIASI,LST,70
RD,MST,30
S1,TC,180
S1_GB,TC,45
S1_GEG,TC,45
S1_GI,TC,45
S1_GP,TC,45
S1_MTU,TC,45
S1_TD1,TC,45
S1_TD2,TC,45
S1_TD3,TC,45
S1_TD4,TC,45
S1_TD5,TC,45
S1_TD6,TC,45
S1_TD7,TC,45
S1_TD8,TC,45
S3,TC,180
S3_GB,TC,45
S3_GP,TC,45
S3_TD1,TC,45
S3_TD10,TC,45
S3_TD2,TC,45
S3_TD3,TC,45
S3_TD4,TC,45
S3_TD5,TC,45
S3_TD6,TC,45
S3_TD7,TC,45
S3_TD8,TC,45
S3_TD9,TC,45
SIR,LST,70
