--- Rows 5-25 of Semaine du 15_12_2025 ---
          0         1      2                        3                4                5    6    7    8    9     10    11    12    13    14    15    16    17    18          19          20    21          22          23                    24                    25                  26                  27          28           29   30   31   32   33   34   35
0   Capacité       NaN    400                      400              400              240   48   48   48   48    48    48    48    48    48    48    48    48    48          48          48    48          90          90                    90                    90                  90                  90          90           90   48   48   48   48   48   48
1       Jour   Horaire     A1                       A2               A4               A3   S5  S 7  S 8  S 9  S 10  S 11  S 12  S 13  S 14  S 15  S 16  S 17  S 18        S 19        S 20  S 21        S 23        S 24                  S 25                  S 26                S 27                S 28        S 29         S 30  GC3  GC2  Ch1  Ch2   G1   G2
2      LUNDI  08:30:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN         NaN                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
3        NaN  09:00:00  TC S1                    TC S3         TC GB S3            BA/BP  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  TC S3 - TD        IEEA    GC        IEGS      MST RD                MST RD                   NaN  TC S1 - TD GP & GI  TC S1 - TD GP & GI     EE+GARM  IFA + MIASI  NaN  NaN  NaN  NaN  NaN  NaN
4        NaN  09:30:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN         NaN                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
5        NaN  10:00:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN         NaN                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
6        NaN  10:30:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN         NaN                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
7        NaN  11:00:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN  TC S3 - TD                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
8        NaN  11:30:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN         NaN                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
9        NaN  12:00:00    NaN                      NaN              NaN              NaN  NaN  NaN  NaN  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN         NaN         NaN   NaN         NaN         NaN                   NaN                   NaN                 NaN                 NaN         NaN          NaN  NaN  NaN  NaN  NaN  NaN  NaN
